index,date,n
513,200318,1
653,200318,1
668,200318,1
706,200318,1
717,200318,1
797,200318,1
977,200318,1
980,200318,1
1045,200318,1
1067,200318,4
1072,200318,1
1112,200318,3
1135,200318,1
1155,200318,4
1156,200318,2
1157,200318,1
1177,200318,3
1178,200318,6
1179,200318,3
1194,200318,1
1196,200318,1
1198,200318,6
1199,200318,3
1216,200318,9
1217,200318,4
1218,200318,1
1228,200318,1
1229,200318,1
1230,200318,10
1231,200318,7
1233,200318,1
1242,200318,3
1243,200318,1
1244,200318,30
1245,200318,1
1246,200318,1
1256,200318,1
1257,200318,15
1258,200318,4
1270,200318,2
1271,200318,8
1272,200318,3
1282,200318,11
1283,200318,10
1284,200318,4
1285,200318,1
1294,200318,18
1295,200318,5
1296,200318,1
1305,200318,2
1306,200318,4
1307,200318,1
1318,200318,4
1319,200318,1
1328,200318,1
1329,200318,2
1363,200318,1
33,200420,1
46,200420,4
54,200420,1
56,200420,1
72,200420,2
82,200420,1
85,200420,1
90,200420,1
91,200420,2
110,200420,1
126,200420,1
127,200420,3
144,200420,1
168,200420,1
172,200420,1
191,200420,2
209,200420,1
233,200420,1
235,200420,1
254,200420,8
272,200420,9
273,200420,1
276,200420,6
277,200420,6
295,200420,6
297,200420,1
299,200420,19
301,200420,1
315,200420,1
317,200420,13
319,200420,1
321,200420,4
322,200420,1
333,200420,1
340,200420,1
344,200420,1
350,200420,1
358,200420,2
372,200420,1
388,200420,1
409,200420,1
414,200420,1
415,200420,1
431,200420,4
450,200420,1
479,200420,1
482,200420,1
506,200420,2
510,200420,1
531,200420,1
554,200420,6
556,200420,2
579,200420,2
580,200420,1
610,200420,1
650,200420,1
651,200420,3
653,200420,3
662,200420,1
680,200420,2
692,200420,1
713,200420,1
715,200420,2
718,200420,4
719,200420,1
736,200420,1
742,200420,1
745,200420,1
757,200420,1
766,200420,4
767,200420,4
770,200420,4
794,200420,10
818,200420,2
819,200420,8
820,200420,1
821,200420,1
824,200420,1
846,200420,1
849,200420,1
870,200420,1
871,200420,1
876,200420,1
919,200420,1
923,200420,1
926,200420,3
927,200420,1
944,200420,1
951,200420,2
954,200420,7
957,200420,1
958,200420,1
969,200420,3
973,200420,1
977,200420,2
979,200420,2
980,200420,1
982,200420,1
998,200420,1
999,200420,4
1001,200420,4
1004,200420,2
1005,200420,1
1023,200420,2
1027,200420,1
1043,200420,1
1044,200420,1
1045,200420,11
1047,200420,1
1048,200420,1
1049,200420,1
1050,200420,2
1056,200420,1
1067,200420,2
1072,200420,9
1073,200420,2
1074,200420,1
1082,200420,1
1083,200420,2
1091,200420,2
1092,200420,2
1093,200420,3
1094,200420,4
1095,200420,4
1111,200420,1
1112,200420,16
1113,200420,1
1114,200420,1
1117,200420,1
1123,200420,1
1127,200420,1
1128,200420,1
1129,200420,1
1134,200420,3
1135,200420,1
1140,200420,1
1149,200420,1
1150,200420,3
1151,200420,1
1155,200420,3
1156,200420,8
1157,200420,4
1158,200420,2
1159,200420,1
1160,200420,2
1162,200420,1
1171,200420,1
1176,200420,1
1177,200420,12
1178,200420,15
1179,200420,17
1194,200420,3
1196,200420,3
1197,200420,19
1198,200420,9
1199,200420,4
1201,200420,5
1213,200420,1
1214,200420,1
1215,200420,15
1216,200420,45
1217,200420,10
1218,200420,7
1220,200420,3
1229,200420,16
1230,200420,33
1231,200420,10
1232,200420,10
1233,200420,1
1238,200420,2
1242,200420,6
1243,200420,10
1244,200420,45
1245,200420,8
1256,200420,2
1257,200420,26
1258,200420,20
1259,200420,1
1271,200420,20
1272,200420,12
1273,200420,1
1274,200420,2
1282,200420,23
1283,200420,16
1284,200420,7
1294,200420,42
1295,200420,13
1306,200420,15
1307,200420,2
1308,200420,1
1318,200420,3
1328,200420,5
1338,200420,1
1355,200420,2
1364,200420,3
1719,200420,1
32,200319,1
58,200319,1
72,200319,1
127,200319,1
299,200319,1
311,200319,1
333,200319,1
344,200319,1
479,200319,1
629,200319,1
676,200319,1
680,200319,1
745,200319,1
766,200319,1
770,200319,1
879,200319,1
880,200319,2
954,200319,1
1026,200319,1
1027,200319,1
1067,200319,6
1072,200319,2
1088,200319,1
1090,200319,2
1091,200319,1
1112,200319,2
1117,200319,1
1157,200319,2
1176,200319,1
1178,200319,2
1197,200319,3
1198,200319,8
1199,200319,2
1214,200319,1
1215,200319,3
1216,200319,9
1217,200319,1
1218,200319,1
1222,200319,1
1230,200319,11
1231,200319,12
1232,200319,1
1243,200319,4
1244,200319,44
1245,200319,4
1246,200319,2
1256,200319,1
1257,200319,23
1258,200319,5
1259,200319,2
1271,200319,11
1272,200319,2
1273,200319,1
1282,200319,19
1283,200319,11
1284,200319,3
1294,200319,25
1295,200319,1
1306,200319,1
1307,200319,1
1318,200319,2
1964,200319,1
46,200320,1
79,200320,1
109,200320,1
110,200320,1
127,200320,1
148,200320,1
149,200320,1
169,200320,1
211,200320,1
232,200320,1
276,200320,2
277,200320,3
299,200320,3
342,200320,1
431,200320,1
718,200320,1
719,200320,1
720,200320,2
744,200320,1
772,200320,1
797,200320,1
831,200320,1
1002,200320,2
1023,200320,2
1027,200320,2
1048,200320,1
1067,200320,2
1069,200320,1
1072,200320,5
1074,200320,1
1090,200320,1
1094,200320,2
1112,200320,1
1114,200320,1
1115,200320,1
1117,200320,1
1134,200320,2
1135,200320,1
1138,200320,1
1155,200320,1
1156,200320,2
1157,200320,1
1158,200320,1
1177,200320,3
1178,200320,5
1179,200320,2
1180,200320,2
1196,200320,2
1197,200320,2
1198,200320,19
1213,200320,1
1214,200320,1
1215,200320,8
1216,200320,17
1217,200320,3
1229,200320,2
1230,200320,27
1231,200320,10
1232,200320,2
1243,200320,5
1244,200320,41
1245,200320,6
1256,200320,1
1257,200320,16
1258,200320,7
1259,200320,1
1271,200320,19
1272,200320,3
1282,200320,19
1283,200320,9
1284,200320,1
1294,200320,40
1295,200320,5
1305,200320,3
1306,200320,1
1307,200320,1
1308,200320,1
1351,200320,1
1359,200320,1
1675,200320,1
1719,200320,1
90,200321,1
147,200321,1
250,200321,1
272,200321,1
523,200321,1
576,200321,1
620,200321,1
679,200321,1
718,200321,2
753,200321,1
770,200321,1
832,200321,1
878,200321,1
895,200321,1
954,200321,1
979,200321,1
980,200321,1
999,200321,2
1004,200321,1
1045,200321,1
1050,200321,2
1067,200321,2
1072,200321,4
1086,200321,1
1117,200321,2
1135,200321,1
1155,200321,3
1156,200321,1
1157,200321,4
1160,200321,1
1177,200321,4
1178,200321,1
1179,200321,1
1180,200321,1
1194,200321,1
1196,200321,1
1197,200321,3
1198,200321,7
1199,200321,1
1213,200321,1
1215,200321,4
1216,200321,8
1217,200321,1
1229,200321,8
1230,200321,8
1231,200321,11
1232,200321,3
1242,200321,2
1243,200321,3
1244,200321,24
1245,200321,4
1256,200321,4
1257,200321,10
1258,200321,7
1259,200321,1
1270,200321,1
1271,200321,8
1272,200321,5
1282,200321,4
1283,200321,4
1284,200321,2
1294,200321,15
1295,200321,2
1297,200321,1
1305,200321,1
1306,200321,3
1307,200321,3
1318,200321,1
37,200322,1
127,200322,1
190,200322,1
276,200322,1
294,200322,1
299,200322,5
325,200322,1
345,200322,1
362,200322,1
470,200322,1
479,200322,1
616,200322,1
644,200322,1
707,200322,1
784,200322,1
954,200322,1
998,200322,1
999,200322,1
1044,200322,1
1048,200322,1
1050,200322,1
1064,200322,1
1072,200322,2
1073,200322,1
1094,200322,1
1095,200322,1
1112,200322,2
1116,200322,1
1133,200322,1
1134,200322,3
1145,200322,1
1155,200322,1
1157,200322,1
1159,200322,1
1177,200322,4
1178,200322,4
1180,200322,1
1196,200322,1
1197,200322,4
1198,200322,5
1200,200322,1
1213,200322,1
1214,200322,1
1215,200322,15
1216,200322,12
1218,200322,1
1220,200322,1
1229,200322,8
1230,200322,21
1231,200322,3
1232,200322,2
1233,200322,2
1242,200322,1
1243,200322,9
1244,200322,36
1245,200322,5
1256,200322,1
1257,200322,19
1258,200322,4
1259,200322,2
1270,200322,1
1271,200322,13
1272,200322,4
1273,200322,1
1282,200322,12
1283,200322,7
1284,200322,3
1285,200322,1
1294,200322,15
1295,200322,5
1305,200322,3
1306,200322,2
1307,200322,3
1318,200322,3
1893,200322,1
66,200323,1
72,200323,1
84,200323,1
85,200323,2
109,200323,1
127,200323,1
248,200323,1
254,200323,1
276,200323,1
288,200323,1
299,200323,1
321,200323,1
431,200323,1
446,200323,1
523,200323,1
556,200323,1
600,200323,1
635,200323,1
671,200323,1
680,200323,2
705,200323,1
715,200323,1
718,200323,4
720,200323,1
741,200323,1
743,200323,1
766,200323,1
785,200323,1
799,200323,1
819,200323,2
871,200323,1
876,200323,1
881,200323,1
954,200323,1
957,200323,1
973,200323,1
979,200323,1
1004,200323,1
1044,200323,2
1045,200323,3
1049,200323,2
1050,200323,1
1051,200323,1
1067,200323,3
1071,200323,1
1072,200323,5
1087,200323,1
1090,200323,1
1091,200323,1
1094,200323,2
1095,200323,3
1109,200323,1
1112,200323,2
1134,200323,2
1138,200323,1
1153,200323,1
1155,200323,3
1156,200323,3
1157,200323,3
1160,200323,1
1177,200323,6
1178,200323,6
1179,200323,2
1180,200323,1
1185,200323,1
1194,200323,1
1196,200323,2
1197,200323,5
1198,200323,10
1199,200323,2
1215,200323,12
1216,200323,22
1217,200323,8
1228,200323,1
1229,200323,7
1230,200323,21
1231,200323,17
1232,200323,3
1242,200323,2
1243,200323,9
1244,200323,32
1245,200323,4
1246,200323,1
1256,200323,2
1257,200323,20
1258,200323,6
1259,200323,3
1271,200323,14
1272,200323,5
1282,200323,11
1283,200323,8
1284,200323,4
1294,200323,40
1295,200323,5
1305,200323,3
1306,200323,4
1307,200323,2
1318,200323,1
1328,200323,2
1363,200323,1
1364,200323,1
1369,200323,1
1396,200323,1
54,200324,1
72,200324,2
90,200324,1
127,200324,1
185,200324,1
211,200324,1
295,200324,2
299,200324,1
333,200324,1
347,200324,1
431,200324,1
467,200324,1
521,200324,2
599,200324,1
602,200324,1
626,200324,1
653,200324,1
680,200324,1
688,200324,1
706,200324,1
714,200324,1
719,200324,1
720,200324,1
722,200324,1
740,200324,1
745,200324,3
767,200324,1
794,200324,5
819,200324,3
828,200324,2
879,200324,1
905,200324,1
929,200324,1
954,200324,3
973,200324,1
1004,200324,1
1005,200324,1
1024,200324,1
1030,200324,1
1044,200324,1
1045,200324,5
1048,200324,1
1049,200324,1
1050,200324,3
1065,200324,1
1066,200324,1
1067,200324,6
1069,200324,1
1072,200324,7
1090,200324,6
1091,200324,1
1094,200324,3
1109,200324,1
1112,200324,3
1114,200324,1
1116,200324,2
1132,200324,1
1134,200324,2
1138,200324,1
1152,200324,1
1155,200324,4
1156,200324,2
1157,200324,5
1177,200324,5
1178,200324,9
1179,200324,4
1185,200324,1
1194,200324,1
1196,200324,3
1197,200324,4
1198,200324,13
1199,200324,1
1213,200324,1
1214,200324,1
1215,200324,14
1216,200324,16
1217,200324,9
1229,200324,10
1230,200324,41
1231,200324,20
1232,200324,6
1235,200324,1
1242,200324,6
1243,200324,16
1244,200324,54
1245,200324,6
1246,200324,1
1256,200324,6
1257,200324,50
1258,200324,11
1259,200324,6
1271,200324,25
1272,200324,10
1273,200324,1
1282,200324,19
1283,200324,22
1284,200324,3
1285,200324,1
1290,200324,1
1294,200324,40
1295,200324,12
1305,200324,3
1306,200324,9
1307,200324,5
1309,200324,1
1318,200324,1
1319,200324,1
1328,200324,4
1347,200324,1
1348,200324,1
1357,200324,1
66,200325,2
72,200325,1
84,200325,1
85,200325,1
254,200325,2
276,200325,1
277,200325,2
295,200325,1
299,200325,1
340,200325,1
346,200325,1
373,200325,1
391,200325,1
449,200325,1
463,200325,1
479,200325,1
509,200325,1
535,200325,1
554,200325,1
572,200325,1
679,200325,1
713,200325,1
718,200325,4
719,200325,1
720,200325,1
763,200325,1
767,200325,2
770,200325,1
790,200325,1
792,200325,1
794,200325,3
797,200325,1
819,200325,1
828,200325,1
901,200325,1
977,200325,1
979,200325,1
995,200325,1
1004,200325,1
1024,200325,1
1026,200325,2
1044,200325,3
1046,200325,1
1050,200325,4
1067,200325,2
1072,200325,6
1073,200325,1
1090,200325,2
1094,200325,2
1095,200325,2
1112,200325,1
1135,200325,1
1155,200325,2
1156,200325,4
1157,200325,2
1159,200325,2
1176,200325,1
1177,200325,9
1178,200325,7
1180,200325,1
1196,200325,3
1197,200325,7
1198,200325,14
1214,200325,3
1215,200325,13
1216,200325,22
1217,200325,4
1218,200325,2
1221,200325,1
1228,200325,1
1229,200325,15
1230,200325,32
1231,200325,20
1232,200325,5
1233,200325,2
1242,200325,6
1243,200325,12
1244,200325,56
1245,200325,2
1256,200325,10
1257,200325,20
1258,200325,10
1259,200325,1
1260,200325,1
1270,200325,1
1271,200325,18
1272,200325,14
1273,200325,1
1274,200325,1
1282,200325,19
1283,200325,17
1284,200325,4
1285,200325,1
1294,200325,36
1295,200325,13
1297,200325,1
1305,200325,2
1306,200325,4
1307,200325,2
1317,200325,1
1318,200325,7
1328,200325,5
1348,200325,1
1363,200325,1
1364,200325,1
1396,200325,1
1699,200325,1
1743,200325,1
26,200326,1
33,200326,1
46,200326,1
60,200326,1
84,200326,1
91,200326,2
104,200326,1
170,200326,1
191,200326,1
211,200326,1
250,200326,1
269,200326,1
276,200326,2
288,200326,1
299,200326,3
340,200326,1
362,200326,1
374,200326,1
407,200326,1
448,200326,1
470,200326,1
479,200326,2
554,200326,2
576,200326,1
633,200326,1
638,200326,1
644,200326,1
660,200326,1
665,200326,3
691,200326,1
706,200326,1
718,200326,5
719,200326,1
744,200326,1
745,200326,1
766,200326,1
767,200326,1
791,200326,2
794,200326,5
795,200326,1
819,200326,4
846,200326,1
880,200326,1
895,200326,1
902,200326,1
919,200326,1
920,200326,1
923,200326,1
929,200326,1
950,200326,1
954,200326,1
969,200326,1
974,200326,1
986,200326,2
997,200326,1
998,200326,1
999,200326,1
1002,200326,1
1022,200326,1
1026,200326,3
1030,200326,1
1044,200326,2
1045,200326,4
1046,200326,1
1047,200326,1
1050,200326,2
1067,200326,8
1068,200326,1
1071,200326,3
1072,200326,12
1089,200326,4
1090,200326,7
1091,200326,3
1092,200326,1
1094,200326,6
1095,200326,3
1112,200326,18
1113,200326,1
1114,200326,1
1116,200326,1
1117,200326,4
1133,200326,3
1134,200326,6
1135,200326,5
1136,200326,1
1138,200326,1
1153,200326,1
1155,200326,11
1156,200326,7
1157,200326,8
1162,200326,1
1177,200326,13
1178,200326,8
1179,200326,4
1185,200326,2
1194,200326,1
1196,200326,6
1197,200326,23
1198,200326,16
1199,200326,2
1213,200326,2
1214,200326,1
1215,200326,26
1216,200326,39
1217,200326,16
1218,200326,3
1228,200326,1
1229,200326,25
1230,200326,41
1231,200326,25
1232,200326,4
1242,200326,2
1243,200326,23
1244,200326,98
1245,200326,6
1246,200326,2
1256,200326,7
1257,200326,47
1258,200326,25
1259,200326,6
1260,200326,1
1270,200326,5
1271,200326,33
1272,200326,13
1281,200326,1
1282,200326,29
1283,200326,24
1284,200326,9
1294,200326,49
1295,200326,14
1296,200326,1
1297,200326,1
1305,200326,4
1306,200326,9
1307,200326,3
1308,200326,1
1317,200326,1
1318,200326,6
1319,200326,18
1328,200326,2
1367,200326,1
1369,200326,1
1396,200326,1
1546,200326,1
1726,200326,1
1743,200326,1
1755,200326,1
33,200327,1
37,200327,1
46,200327,1
54,200327,1
65,200327,1
84,200327,1
88,200327,1
127,200327,1
204,200327,1
272,200327,1
277,200327,1
294,200327,1
295,200327,1
299,200327,2
300,200327,1
323,200327,1
340,200327,1
343,200327,1
431,200327,1
488,200327,1
525,200327,1
554,200327,4
590,200327,1
626,200327,2
680,200327,1
718,200327,7
719,200327,1
739,200327,1
744,200327,1
745,200327,2
766,200327,2
767,200327,1
769,200327,1
770,200327,2
793,200327,1
794,200327,3
798,200327,2
819,200327,4
822,200327,1
828,200327,1
897,200327,1
923,200327,1
944,200327,1
946,200327,1
948,200327,2
954,200327,1
955,200327,1
980,200327,1
995,200327,1
999,200327,3
1000,200327,1
1023,200327,2
1026,200327,1
1027,200327,1
1028,200327,3
1042,200327,1
1044,200327,3
1045,200327,6
1046,200327,1
1047,200327,2
1049,200327,2
1050,200327,1
1067,200327,9
1069,200327,3
1070,200327,1
1072,200327,15
1089,200327,4
1090,200327,7
1091,200327,7
1093,200327,1
1094,200327,8
1095,200327,4
1109,200327,1
1112,200327,22
1115,200327,2
1116,200327,1
1117,200327,3
1131,200327,1
1133,200327,1
1134,200327,6
1135,200327,3
1136,200327,1
1138,200327,1
1139,200327,1
1155,200327,13
1156,200327,10
1157,200327,7
1158,200327,2
1175,200327,1
1177,200327,18
1178,200327,16
1179,200327,8
1180,200327,2
1195,200327,3
1196,200327,9
1197,200327,27
1198,200327,21
1199,200327,3
1200,200327,1
1213,200327,1
1214,200327,5
1215,200327,52
1216,200327,45
1217,200327,12
1218,200327,3
1228,200327,1
1229,200327,26
1230,200327,56
1231,200327,25
1232,200327,7
1235,200327,1
1240,200327,1
1242,200327,15
1243,200327,26
1244,200327,103
1245,200327,4
1246,200327,3
1254,200327,1
1256,200327,13
1257,200327,46
1258,200327,26
1259,200327,5
1270,200327,8
1271,200327,29
1272,200327,11
1273,200327,1
1282,200327,111
1283,200327,22
1284,200327,6
1285,200327,1
1294,200327,54
1295,200327,20
1305,200327,2
1306,200327,9
1307,200327,10
1317,200327,1
1318,200327,7
1319,200327,5
1320,200327,1
1323,200327,1
1328,200327,6
1364,200327,2
66,200328,1
72,200328,1
84,200328,1
104,200328,1
168,200328,1
234,200328,1
254,200328,1
256,200328,1
270,200328,1
276,200328,2
299,200328,3
317,200328,1
318,200328,1
321,200328,2
323,200328,8
340,200328,2
350,200328,1
367,200328,1
388,200328,1
424,200328,1
479,200328,2
546,200328,1
581,200328,1
640,200328,1
668,200328,1
692,200328,1
714,200328,1
718,200328,2
744,200328,1
745,200328,1
767,200328,1
769,200328,1
770,200328,2
794,200328,3
799,200328,1
819,200328,4
846,200328,1
876,200328,1
897,200328,1
947,200328,1
951,200328,1
970,200328,2
979,200328,2
995,200328,1
998,200328,1
1004,200328,2
1023,200328,1
1026,200328,4
1044,200328,2
1045,200328,6
1046,200328,1
1049,200328,2
1050,200328,4
1067,200328,7
1069,200328,1
1070,200328,1
1072,200328,10
1073,200328,1
1074,200328,1
1089,200328,2
1090,200328,4
1091,200328,2
1094,200328,1
1095,200328,3
1097,200328,2
1109,200328,1
1112,200328,15
1113,200328,1
1114,200328,2
1117,200328,4
1133,200328,2
1134,200328,6
1135,200328,3
1155,200328,3
1156,200328,11
1157,200328,5
1177,200328,10
1178,200328,9
1179,200328,2
1185,200328,2
1194,200328,2
1195,200328,1
1196,200328,3
1197,200328,27
1198,200328,14
1199,200328,2
1200,200328,1
1214,200328,4
1215,200328,15
1216,200328,23
1217,200328,10
1218,200328,1
1228,200328,1
1229,200328,13
1230,200328,43
1231,200328,28
1232,200328,6
1242,200328,9
1243,200328,22
1244,200328,57
1245,200328,8
1256,200328,10
1257,200328,24
1258,200328,20
1259,200328,4
1260,200328,1
1270,200328,2
1271,200328,30
1272,200328,14
1273,200328,1
1282,200328,39
1283,200328,17
1284,200328,6
1286,200328,1
1294,200328,39
1295,200328,7
1305,200328,3
1306,200328,6
1307,200328,3
1310,200328,1
1317,200328,1
1318,200328,1
1319,200328,2
1328,200328,1
1338,200328,1
1602,200328,1
1719,200328,2
45,200329,1
46,200329,1
48,200329,1
56,200329,2
72,200329,1
84,200329,1
103,200329,1
141,200329,1
169,200329,1
210,200329,1
276,200329,2
277,200329,2
295,200329,3
299,200329,1
323,200329,1
340,200329,1
373,200329,1
431,200329,3
455,200329,1
479,200329,1
523,200329,1
535,200329,1
554,200329,7
558,200329,1
589,200329,1
644,200329,1
665,200329,1
682,200329,1
687,200329,1
692,200329,1
693,200329,1
709,200329,2
713,200329,1
714,200329,1
718,200329,7
741,200329,1
744,200329,1
745,200329,2
767,200329,4
769,200329,2
770,200329,1
794,200329,4
819,200329,2
821,200329,1
822,200329,2
828,200329,1
871,200329,1
875,200329,1
876,200329,1
877,200329,1
944,200329,1
947,200329,1
949,200329,1
951,200329,1
952,200329,1
953,200329,1
954,200329,3
972,200329,1
973,200329,2
979,200329,2
980,200329,1
998,200329,1
999,200329,2
1002,200329,1
1004,200329,1
1019,200329,1
1021,200329,1
1023,200329,1
1026,200329,2
1030,200329,1
1045,200329,1
1046,200329,3
1047,200329,4
1048,200329,1
1049,200329,2
1050,200329,6
1067,200329,5
1069,200329,3
1071,200329,1
1072,200329,9
1075,200329,1
1089,200329,1
1090,200329,3
1091,200329,1
1092,200329,3
1094,200329,1
1095,200329,3
1111,200329,1
1112,200329,18
1116,200329,1
1117,200329,2
1133,200329,1
1134,200329,1
1135,200329,4
1136,200329,1
1138,200329,1
1139,200329,2
1145,200329,1
1155,200329,11
1156,200329,11
1157,200329,10
1160,200329,1
1177,200329,19
1178,200329,14
1179,200329,5
1180,200329,1
1181,200329,1
1194,200329,2
1196,200329,5
1197,200329,24
1198,200329,27
1199,200329,11
1200,200329,1
1214,200329,6
1215,200329,19
1216,200329,39
1217,200329,14
1218,200329,3
1221,200329,1
1228,200329,2
1229,200329,16
1230,200329,56
1231,200329,26
1232,200329,4
1233,200329,2
1237,200329,1
1242,200329,13
1243,200329,35
1244,200329,82
1245,200329,8
1246,200329,1
1256,200329,13
1257,200329,60
1258,200329,20
1259,200329,6
1260,200329,1
1263,200329,1
1270,200329,10
1271,200329,34
1272,200329,10
1273,200329,2
1282,200329,33
1283,200329,23
1284,200329,6
1286,200329,1
1294,200329,63
1295,200329,19
1305,200329,2
1306,200329,11
1307,200329,7
1317,200329,1
1318,200329,3
1319,200329,4
1322,200329,1
1328,200329,4
1329,200329,1
1347,200329,1
1348,200329,2
1367,200329,1
1588,200329,1
1719,200329,1
1756,200329,1
2,200424,1
38,200424,1
46,200424,7
60,200424,2
72,200424,8
91,200424,2
106,200424,1
110,200424,5
111,200424,1
125,200424,2
127,200424,1
168,200424,1
169,200424,1
190,200424,1
191,200424,5
192,200424,1
231,200424,1
232,200424,1
251,200424,1
253,200424,1
254,200424,19
255,200424,2
272,200424,5
276,200424,20
277,200424,5
294,200424,1
295,200424,11
296,200424,1
298,200424,4
299,200424,17
300,200424,1
301,200424,1
313,200424,1
317,200424,7
318,200424,1
321,200424,3
340,200424,4
349,200424,1
389,200424,1
411,200424,1
420,200424,1
431,200424,5
460,200424,1
476,200424,1
479,200424,3
483,200424,1
509,200424,3
517,200424,1
554,200424,82
582,200424,1
586,200424,1
610,200424,3
621,200424,1
651,200424,1
